appid,name,description,price,release_date,developer,publisher,tags
1465020,隐秘世界,"UnderWorld is a card game that designed for two players. To begin the battle, each player needs to draw 5 cards from two of the factions first and utilize these cards to fullfill the winning conditions.",N/A,Coming soon,GameCreator,GameCreator,Strategy
1465030,清洗屋：帮助邻居人妻,"Helping people solve the problem mercenary Melissa received a cleaning task, but so imprisoned in a house, looking for all the clues in the room, solve every puzzle, to help Melissa escape the plight.",N/A,Coming soon,BVRgames,BVRgames,"Casual, Indie, RPG, Simulation, Strategy"
1465040,TCSTRIKERS1,The first game in the TCSTRIKERS series. The simple controls make it fun for everyone.,N/A,"8 Dec, 2020",Project Anthem,Project Anthem,"Action, Indie"
1465050,HaremKingdom,"HaremKingdom is a pure-love comedy in another world! Amidst magical hijinks and five adoring brides, what kind of harem will you choose to build?",₹ 279,"25 Oct, 2021",Smee,Shiravune,"Adventure, Casual, Simulation"
1465060,Tetrogue Dragons,"Enter the world of Tetrogue Dragons where arcade style gaming meets deckbuilding and roguelike dungeons. Choose your class, craft your deck, and battle your way to victory. Experience something new each time you embark on a new Tetrogue adventure!",₹ 299,"26 Nov, 2020",Shatterproof,Shatterproof,Indie
1465070,Legendary Tales,"Legendary tales is a VR Action roleplaying game with up to 4 player co-op. Collect items, enhance your abilities and fight your way through an ever changing dungeon to make your own Legendary Tales.","₹ 3,810","8 Feb, 2024",Urban Wolf Games Inc.,Urban Wolf Games Inc.,"Action, Adventure, Indie, RPG, Simulation"
1465110,Nihariely’s Spatial Adventure,"Nihariely’s Spatial Adventure is a pixelart game mixing arcade gameplay, exploration, resource management and puzzles, it is all about the rescue of a civilization collecting master processors.",₹ 260,"3 Dec, 2020",Artificer Creator,Artificer Creator,"Action, Adventure, Indie"
1465120,skelets,skelets is a local multiplayer skeleton brawler: fight skeletons and plunder gems!,₹ 155,"5 Nov, 2020",Sokpop Collective,Sokpop Collective,"Action, Indie"
1465130,Dead Hearts,What would you do if all the people you knew were murdered before your eyes? What would you do if the scenery repeated itself over and over again? What would you do if you knew you were about to die in front of your friends? There is only one solution - change your destiny and take revenge.,N/A,Coming soon,NekoDev,NekoDev,"Action, Adventure, RPG"
1465140,Lucid Soul,"A Villain Protagonist, High Fantasy, Horror RPG in which you, Player, will control Scythe and his party of Deathtouched as they take part in a story rich conquest through the world of Trebezia. Gods and Goddesses will try to stop you... but hey you're the villain... and being evil is so. much. fun.",N/A,2024,Jon Bookout,,"Indie, RPG"
1465170,Seasons With Furry,A puzzle game where you need to assemble a complete image from several pieces.,₹ 52,"20 Nov, 2020",Snkl Studio,Snkl Studio,"Casual, Indie"
1465190,古代人生 Ancient Life,"Ancient Life is a game that simulates the life of ancient people. The game contains various events that may have occurred in ancient times. Players can choose to farm, be an official, craftsman, be a hunter, be a merchant, and have different occupations.",₹ 199,"12 Jul, 2021",Wingjoy Games,Wingjoy Games,"Casual, Indie, RPG, Simulation"
1465200,Broken Ecchi Gallery,Someone broke into our gallery and destroyed all the paintings and now you need to restore them. Broken Ecchi Gallery - a puzzle game in which you need to restore paintings of beautiful girls from the fragments.,₹ 52,"4 Dec, 2020",NEXION X,NEXION X,"Casual, Indie, Simulation"
1465210,Gravulse,"Welcome to Gravulse, an innovative space curvature laboratory that is trying to &quot;flip&quot; the laws of physics, literally. Here you have to go through many test levels using various new technologies!",N/A,"20 Dec, 2020",illystray,verkme,"Action, Indie"
1465220,Magna Regna,Magna Regna combines the nostalgia of the classic medieval RTS genre with a modern look and gameplay. Explore medieval history through various campaigns from the 7th century up to the very last time of knights. Play with your battle-hardened friends against others in multiplayer.,N/A,To be announced,Hammer Games,Hammer Games,"Indie, Strategy"
1465260,Cyberpunk SFX,"What can be more spectacular than a girl armed with rockets and a sense of humor? Yes, she is about to start solving the problems of the 21st century. And if you want to make sure she doesn’t create a few new ones, you’ll have to show her the way.",₹ 730,"29 Nov, 2020",Whale Rock Games,Whale Rock Games,"Action, Adventure, Indie, Simulation, Early Access"
1465300,The Thought Police Hotline: Episode 1,Do you like comedy and sci-fi and want to try something new? This visual novel is the first episode and it's John's first day at the Thought Police Hotline. You can click to move the dialogue forward. Estimated 1h to 1h 45m reading time depending on reading speed.,₹ 105,"2 Dec, 2020",Voonle,Voonle,Casual
1465310,Gun Mage,"Gun Mage is a fast-paced, action-packed, 2D Combat-Platformer game where you only have one bullet in the chamber of your weapon. And you’re gonna have to make it count.",₹ 125,"29 Dec, 2021",Gusdalf Games,Gusdalf Games,"Action, Indie"
1465320,Gachi run: Running of the slaves Soundtrack,Gachi run: Running of the slaves Soundtrack: Includes all the game's music in MP3 format.,₹ 42,"6 Nov, 2020",Slaves,Dungeon Master production,
1465330,Bird Pro Skater,Bird Pro Skater is an addictive runner game to help people relax. Skate across different countries and perform dangerous stunts on trampolines.,₹ 42,"10 Dec, 2021",Take Toad,Take Toad,"Adventure, Casual"
1465340,Free Spirit VR Meditation,"Immersive meditative journey in the sacred valley of Peruvian Andes. Walking in beauty, explore the mountain track, admire the sunset, listen to the sounds of nature and the native American flute, follow the voice of a wisdom woman, relax at the fire while catching a glimpse of the Milky Way.",₹ 125,"11 Dec, 2020",Colibri XR GmbH,Colibri XR GmbH,Indie
1465350,Model City,"Welcome to Model City, a calm relaxing small game where you can't lose or do anything wrong.",₹ 155,"8 Nov, 2020",GTGD,GTGD,"Casual, Indie, Simulation"
1465370,Detective notes. Lighthouse Mystery Solitaire,Solve a baffling case! Experience the story together with the characters!,₹ 259,"3 Mar, 2021",DigiMight,DigiMight,Casual
1465380,Hello From Darkness,"Hello From Darkness - a meme horror, made in 3D graphics with a first-person view. The action takes place in a gloomy city where everything has gone crazy. To win, you need to collect the necessary items, complete some tasks and just survive.",₹ 349,"30 Nov, 2020",CaTaTo,Piece Of Voxel,Early Access
1465390,Hentai ASMR,"Just put on your headphones, relax and enjoy.",₹ 105,"27 Nov, 2020",Boom Team,Boom Team,"Action, Adventure, Casual, Indie, RPG, Simulation"
1465400,Kaverini Nuuk Adventures,"Welcome to Nuuk, the capital of Greenland! Design your own character and hop into the modern and wild sides of the Arctic alike! When trouble arises, from mythical monsters to a computer that won't work, use your emotional techniques to get your way, no violence required! Real life places included!",₹ 349,"13 May, 2022",Jared Gimbel,Kaverini Korp,RPG
1465410,Spinny's Journey,"Spinny's Journey is a challenging 2D action-puzzle game. You will help Spinny, a tiny alien explorer, find his way through mazes, dodge traps and repair his spaceship that was destroyed by a terrifying sparrow.",₹ 100,"26 Nov, 2020",Thunder Sparrow,Thunder Sparrow,"Action, Adventure, Casual, Indie"
1465420,Fantasy Grounds - Pathfinder 2 RPG - Pathfinder Society Scenario #2-04: Path of Kings,"Pathfinder 2 RPG - Pathfinder Society Scenario #2-04: Path of Kings A Pathfinder Society Scenario designed for levels 3-6.The Pathfinders sail across the Arcadian Ocean, hoping to establish a new lodge on the continent of Arcadia.",₹ 219,"16 Mar, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1465430,The Game of Life 2 - Fairytale Kingdom world,"There are more worlds to explore in THE GAME OF LIFE 2. Join your friends and family in a mystical adventure through the Fairytale Kingdom world, where dreams come true!",₹ 370,"11 Dec, 2020",Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,"Casual, Simulation, Strategy"
1465431,The Game of Life 2 - Haunted Hills world,"Explore new worlds in THE GAME OF LIFE 2. Enter a realm where creepy creatures rule! Join your friends and family for a spooky adventure, wherever you are!",₹ 370,"11 Dec, 2020",Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,"Casual, Simulation, Strategy"
1465432,The Game of Life 2 - Frozen Lands world,"Explore in THE GAME OF LIFE 2. Put on your warmest coat and snow boots, it’s time to join your friends and family for magic that will never melt away, in the Frozen Lands world!",₹ 370,"11 Dec, 2020",Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,"Casual, Simulation, Strategy"
1465440,Obscurant,"A narrative-focused mimicry game. Observe and blend in to survive. Disguise yourself, deceive enemies, and discover the secrets of a mysterious world.",₹ 459,"29 Apr, 2022",King Brick Games,King Brick Games,"Action, Adventure, Indie, RPG"
1465450,Jetpack City Action VR,"Fly freely with a jetpack and enjoy the view of realistic modeled city. 3 different stuff you can do in game, fly freely, or collect cargo or fight against the drones. This game was planned as a commercial promotional game and was played and enjoyed by the participants in many fairs and meetings.",₹ 85,"5 May, 2021",Berzah Games,Berzah Games,"Action, Casual, Simulation, Early Access"
1465500,Hero Puzzle,"In Hero Puzzle, you will help the hero to rescue the princess from danger by solving a pin puzzle. Pull the pins and complete the task. Rescue the princess, search for treasure that will help you become the richest hero in history.",₹ 85,"19 Nov, 2020",Hero Games,Hero Games,"Adventure, Casual"
1465510,DUSK '82: ULTIMATE EDITION,"DUSK '82 is a simple but addictive action-puzzler demake of the cult shooter DUSK, inspired by classics like Chip's Challenge and Sokoban.",₹ 345,"22 Oct, 2021",David Szymanski,New Blood Interactive,"Adventure, Casual, Indie, Strategy"
1465550,One Lonely Outpost,"An alien world sometimes needs a farmer’s touch to bring it to life. In this sci-fi, colonization-life sim, terraform a barren world: turn wastelands into verdant landscapes while exploring, farming, building, and unlocking all the mysteries of this strange new planet.",₹ 880,"26 Jun, 2023",indie.io,indie.io,"Indie, RPG, Simulation, Early Access"
1465560,Against All Odds,Water's cut. Rent's due. Jobs are scarce. Time to get rich. Enter the Slaughter League and win against all odds in supremely lethal races. Platforming meets slaughter in this casual racing game designed for players looking for a new experience - or a way to wind down with blood and guts galore!,₹ 250,"19 May, 2023",Microwave Games,indie.io,"Action, Indie, Sports"
1465580,Trapmania,"Run, Trap, Defend. Fearsome monsters have invaded! Your job? Cleanse the land of these horrible beasts using only your mind, and the traps in your backpack...",₹ 349,"20 Jan, 2021",Waide Studios,Waide Studios,"Action, Adventure, Casual, Indie, Strategy"
1465610,World Fighting Soccer 22,"Compete with your friends in an exciting new style of Soccer! Dazzle your fans and confuse your foes all with the press of a button! From the ground or high in the sky, strike and win the day!",₹ 93,"30 Aug, 2022",Melko Game Club,Melko Game Club,"Action, Indie, Sports"
1465620,Moses: From Egypt to the Promised Land,"Moses: from Egypt to the promised land is a first person adventure game inspired by one of the most amazing stories in human history from the Old Testament. In the game, we play the role of Moses, the holy prophet, the leader of the Israelites, during their journey to the Promised Land.",N/A,To be announced,Hyper Studio,Hyper Studio,"Action, Adventure, Indie, RPG, Simulation"
1465640,Dead Man's Rest,"A Wild West BxB story of love, murder, and revenge. Play as Lee &quot;Blackjack&quot; McCarthy on his hunt for the elusive Wild Bill—until a mysterious killing shatters all his plans.",₹ 399,"14 Mar, 2022",Gallium Games,Argent Games,Casual
1465650,Anno 1800 - City Lights Pack,"Brighten up your residents’ lives with the City Lights Pack, with 21 new urban ornaments, including street lanterns.",₹ 249,"12 Nov, 2020",Ubisoft Mainz,Ubisoft,"Simulation, Strategy"
1465710,白昼梦 · 心象病院,"This is a pixel style puzzle game, including a certain micro-horror elements. Truth is blind love. Retrieve your memory and escape from this horrible hospital.",N/A,"6 Jan, 2024",林檎树,Eternal Dream,"Adventure, Indie, RPG, Free To Play"
1465740,Wicked Rails VR,Wicked Rails is a mini VR game where you ride through dark and dangerous caves. Your most important mission is to survive the ride and escape the impending doom. Rack up your points by collecting all gems and destroying the lava flows. Make sure to avoid all the obstacles!,₹ 199,"10 Dec, 2020",Went2Play LLC,Went2Play LLC,"Action, Adventure, Indie"
1465750,American Truck Simulator - Texas,Get your lasso ready and embark on your Texas-sized adventure. Hope y'all will like your visit to the Lone Star State.,₹ 850,"15 Nov, 2022",SCS Software,SCS Software,"Indie, Simulation"
